ID_Link,Next_ID,Acum_L_m,L_m,Ah_km2,isHead,isOutlt,meanBWF_up_cms
1,8494,12360.8592,27.1272,0.00415940832083,1,0,9.87524857203295e-06
2,12885,16313.8104,27.432,0.00900504450328,0,0,0.000108939850626833
3,2539,13484.6568,64.9224,0.00378384611986,0,0,0.00031943098159509
4,13655,3339.084,44.5008,0.00331983797788,0,0,0.000376658868088294
5,12,4244.0352,64.9224,0.00502561555148,0,0,0.000122340605469869
6,14859,5957.316,56.388,0.00289673563218,0,0,0.00225381981546784
7,6728,6268.5168,37.4904,0.00388993492358,0,0,0.000291379738020227
8,5152,13583.7168,114.3,0.00878526930315,0,0,0.00038233394377804
9,5155,13397.1792,71.628,0.00615667319414,1,0,0.000127444647926013
10,4300,13602.6144,78.9432,0.00584285115143,0,0,0.000142133661133164
11,10156,13047.8784,28.6512,0.00215285284401,0,0,0.000142133661133164
12,6569,4179.1128,66.7512,0.0059685811966,0,0,0.000244681210939738
13,1449,3624.072,60.0456,0.0037611656152,0,0,0.000611703027349346
14,13,3661.5624,37.4904,0.00472319181155,0,0,0.000611703027349346
15,7080,3774.948,49.0728,0.00559653859983,0,0,0.000244681210939738
16,15,3798.4176,23.4696,0.000404020969332,0,0,0.000122340605469869
17,13093,14116.812,92.3544,0.00938853081316,0,0,0.000171348542944784
18,7428,5742.432,44.196,0.0105462388265,1,0,0.000122340605469869
19,10519,10174.224,86.2584,0.00995615338635,0,0,0.000143600333157274
20,998,6822.6432,65.2272,0.0117557915307,0,0,0.000525506134969322
21,2146,10790.2248,90.5256,0.00852712471684,0,0,0.00689281599154914
22,13595,11762.5368,5.4864,0.0149533989166,0,0,0.00962261217210687
23,6568,12373.9656,91.44,0.0307603601283,0,0,0.00032585852760736
24,1884,13937.5896,2.7432,0.00273796572039,1,0,0.000126408887415022
26,12830,7790.9928,52.7304,0.00800087742839,0,0,0.00013991584947587
27,5093,11085.2712,119.7864,0.0144430307461,0,0,0.0647745486514171
28,3103,9970.6176,25.2984,0.0033563217328,0,0,0.000125860182070057
29,1654,16418.052,25.2984,0.00204088563419,0,0,0.000108939850626833
30,9238,10588.752,27.7368,0.00151661984272,0,0,0.00308352807017852
